GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TicTacToe,controller,GameAI,11,556,5,75,1,84,5,47,0,12
TicTacToe,controller,SessionController,3,26,0,2,2,9,2,3,2,2
TicTacToe,controller,GameController,89,215,20,18,17,31,15,10,1,5
TicTacToe,controller,Find,6,15,0,0,2,6,2,2,2,2
TicTacToe,data,Player,9,39,0,0,0,4,2,2,2,2
TicTacToe,data,Direction,9,49,0,0,0,5,2,2,2,2
TicTacToe,data,Game,127,124,0,8,29,30,18,14,18,10
TicTacToe,data,Session,24,10,0,0,4,5,3,3,3,3
TicTacToe,data,Move,34,0,0,0,9,0,6,0,6,0
TicTacToe,data,Position,8,47,2,6,4,15,3,7,1,5
TicTacToe,data,Opponents,21,0,0,0,8,0,4,0,4,0
TicTacToe,repo,SessionRepository,8,19,0,0,3,5,2,4,2,4
TicTacToe,repo,GameRepository,8,20,0,0,3,5,2,4,2,4
TicTacToe,services,SecureService,23,0,2,0,5,0,3,0,2,0
TicTacToe,services,OpponentService,28,0,0,0,6,0,3,0,3,0
TicTacToe,services,GameService,151,0,0,0,25,0,7,0,7,0
TicTacToe,services,SessionService,84,0,4,0,21,0,7,0,5,0
